participant_id,gender,fixation_count,total_fix_time,avg_fix_duration,avg_saccade_length
67,male,38,2628,69.15789473684211,1.1891891891891893
68,male,241,25044,103.91701244813278,0.3958333333333333
69,male,301,39712,131.93355481727573,0.7066666666666667
70,male,113,9124,80.7433628318584,0.4375
71,male,79,6048,76.55696202531645,1.6923076923076923
72,male,184,15900,86.41304347826087,1.2349726775956285
73,male,321,34420,107.22741433021807,0.746875
74,male,115,15464,134.4695652173913,0.5175438596491229
75,male,239,32772,137.1213389121339,1.004201680672269
76,female,43,2844,66.13953488372093,0.9047619047619048
77,male,164,22292,135.9268292682927,1.0674846625766872
78,male,247,29284,118.5587044534413,0.3943089430894309
79,male,316,33524,106.0886075949367,0.5619047619047619
80,male,133,10768,80.9624060150376,0.9393939393939394
81,male,132,14368,108.84848484848484,0.5190839694656488
82,male,185,26564,143.5891891891892,0.7336956521739131
83,male,390,39384,100.98461538461538,0.7969151670951157
84,male,346,36148,104.47398843930635,0.7913043478260869
85,male,184,25108,136.45652173913044,0.546448087431694
86,female,630,101496,161.10476190476192,0.5723370429252782
87,male,260,32376,124.52307692307693,0.47876447876447875
88,male,90,7116,79.06666666666666,1.0
89,male,254,36784,144.8188976377953,0.3241106719367589
90,male,72,6800,94.44444444444444,0.5211267605633803
91,male,153,29568,193.2549019607843,0.24342105263157895
92,male,12,1052,87.66666666666667,0.6363636363636364
93,female,92,10608,115.30434782608695,0.5714285714285714
94,male,138,13928,100.92753623188406,0.5547445255474452
95,female,15,1000,66.66666666666667,2.7857142857142856
96,male,245,40720,166.20408163265307,1.1639344262295082
97,male,265,24392,92.04528301886792,0.5151515151515151
98,male,4,304,76.0,0.6666666666666666
99,male,204,18472,90.54901960784314,0.541871921182266
100,male,23,3400,147.82608695652175,1.8181818181818181
101,male,194,17020,87.73195876288659,0.7046632124352331
102,male,5,380,76.0,1.0
103,female,17,1220,71.76470588235294,1.375
104,female,64,5988,93.5625,0.9841269841269841
105,male,150,13352,89.01333333333334,0.738255033557047
106,male,54,4228,78.29629629629629,0.7924528301886793
107,female,246,35352,143.70731707317074,0.44081632653061226
108,male,147,12416,84.4625850340136,0.7054794520547946
110,male,171,17216,100.67836257309942,0.6235294117647059
111,male,17,1224,72.0,0.75
112,male,245,25976,106.02448979591837,0.8360655737704918
113,male,245,22644,92.42448979591836,0.8032786885245902
114,male,89,8736,98.15730337078652,1.3977272727272727
115,male,170,22992,135.24705882352941,0.5621301775147929
116,male,123,16508,134.21138211382114,0.4426229508196721
117,male,306,37392,122.19607843137256,0.8590163934426229
118,male,244,32600,133.60655737704917,1.1975308641975309
119,male,25,1724,68.96,1.1666666666666667
120,male,269,29988,111.47955390334573,0.5335820895522388
121,female,194,24428,125.91752577319588,0.694300518134715
122,male,58,11860,204.48275862068965,0.631578947368421
123,male,202,19608,97.06930693069307,0.6915422885572139
124,male,251,20588,82.02390438247012,0.616
125,male,2,140,70.0,2.0
126,male,339,35876,105.82890855457227,0.4437869822485207
127,male,61,5192,85.11475409836065,1.05
128,male,262,28276,107.92366412213741,0.632183908045977
129,male,17,1284,75.52941176470588,0.75
130,male,11,776,70.54545454545455,0.8
131,male,265,28576,107.83396226415094,0.6477272727272727
132,male,439,38000,86.56036446469248,0.8949771689497716
133,male,211,16888,80.03791469194313,0.6
134,male,97,9316,96.04123711340206,0.5625
135,male,228,18544,81.33333333333333,0.8986784140969163
136,male,211,22028,104.39810426540285,0.6714285714285714
137,male,110,10860,98.72727272727273,0.30275229357798167
138,male,179,24088,134.56983240223462,0.5449438202247191
139,female,105,16132,153.63809523809525,0.8269230769230769
140,male,141,13400,95.0354609929078,0.45714285714285713
141,female,296,43184,145.8918918918919,0.38305084745762713
142,male,368,43740,118.8586956521739,0.7411444141689373
143,male,110,18396,167.23636363636365,0.8715596330275229
144,female,137,11800,86.13138686131387,0.6838235294117647
145,female,200,16996,84.98,0.7035175879396985
146,female,138,11880,86.08695652173913,0.6934306569343066
147,male,327,27428,83.8776758409786,0.5337423312883436
148,female,105,9332,88.87619047619047,0.9134615384615384
149,female,89,9888,111.10112359550561,0.8409090909090909
150,female,61,5312,87.08196721311475,0.6
151,male,586,64020,109.24914675767918,0.4376068376068376
152,female,134,19636,146.53731343283582,0.20300751879699247
153,male,63,4912,77.96825396825396,0.7580645161290323
154,male,410,42320,103.21951219512195,0.6039119804400978
155,male,205,19792,96.54634146341463,0.7843137254901961
156,male,17,1176,69.17647058823529,1.6875
157,male,26,2300,88.46153846153847,1.08
158,male,164,24476,149.2439024390244,0.8159509202453987
159,male,51,4052,79.45098039215686,0.9
160,male,536,51092,95.32089552238806,0.5308411214953271
162,male,282,34424,122.0709219858156,1.00711743772242
163,female,183,18480,100.98360655737704,0.46153846153846156
164,male,233,20760,89.09871244635193,0.7327586206896551
165,male,392,52344,133.53061224489795,0.38618925831202044
166,male,288,24720,85.83333333333333,1.1289198606271778
168,male,485,48296,99.57938144329897,0.6983471074380165
169,male,309,42672,138.09708737864077,0.948051948051948
170,male,72,9656,134.11111111111111,0.7605633802816901
171,male,173,27748,160.39306358381504,0.5465116279069767
172,male,97,14180,146.18556701030928,0.6041666666666666
174,female,32,2396,74.875,0.7419354838709677
176,female,516,62428,120.98449612403101,0.458252427184466
177,male,323,31972,98.984520123839,0.6521739130434783
178,male,264,21932,83.07575757575758,0.6996197718631179
179,male,571,73340,128.44133099824867,0.47368421052631576
180,female,163,17964,110.20858895705521,0.7345679012345679
181,female,102,10732,105.2156862745098,0.40594059405940597
182,male,227,22260,98.06167400881057,1.1371681415929205
183,male,214,20288,94.80373831775701,1.2769953051643192
184,male,289,23736,82.13148788927336,0.5138888888888888
185,male,125,13852,110.816,0.5
186,female,248,31320,126.29032258064517,0.5182186234817814
187,female,4,300,75.0,2.3333333333333335
189,male,200,25636,128.18,0.3869346733668342
190,male,95,14256,150.06315789473683,0.776595744680851
191,male,174,18292,105.1264367816092,0.6069364161849711
