participant_id,gender,fixation_count,total_fix_time,avg_fix_duration,avg_saccade_length
94,male,157,18608,118.52229299363057,0.5705128205128205
95,female,19,1304,68.63157894736842,2.111111111111111
96,male,250,36040,144.16,0.6947791164658634
97,male,281,36240,128.96797153024912,0.45714285714285713
98,male,16,1260,78.75,1.5333333333333334
99,male,317,30604,96.54258675078864,0.6107594936708861
100,male,200,23876,119.38,0.9547738693467337
101,male,928,94984,102.35344827586206,0.511326860841424
102,male,5,392,78.4,2.0
103,female,100,9788,97.88,0.6868686868686869
104,female,13,1044,80.3076923076923,2.0833333333333335
105,male,188,19040,101.27659574468085,0.4117647058823529
106,male,186,14628,78.64516129032258,1.3891891891891892
107,female,42,5084,121.04761904761905,1.1951219512195121
108,male,105,8780,83.61904761904762,1.1346153846153846
110,male,107,12028,112.41121495327103,0.4056603773584906
111,male,43,3392,78.88372093023256,0.9523809523809523
112,male,2,136,68.0,0.0
113,male,140,12868,91.91428571428571,0.7697841726618705
114,male,94,10328,109.87234042553192,0.8602150537634409
115,male,314,37824,120.45859872611464,1.0798722044728435
116,male,147,19864,135.12925170068027,0.3972602739726027
117,male,270,35212,130.4148148148148,0.862453531598513
118,male,133,19480,146.46616541353384,0.7727272727272727
119,male,17,1128,66.3529411764706,0.8125
120,male,170,22040,129.64705882352942,0.5739644970414202
121,female,124,14676,118.35483870967742,1.008130081300813
122,male,129,24392,189.08527131782947,0.3984375
123,male,169,15608,92.35502958579882,1.1011904761904763
124,male,300,25364,84.54666666666667,1.351170568561873
125,male,8,648,81.0,1.8571428571428572
126,male,359,37660,104.9025069637883,1.1787709497206704
127,male,64,5728,89.5,0.7142857142857143
128,male,596,72768,122.09395973154362,0.611764705882353
129,male,25,1720,68.8,1.25
130,male,3,184,61.333333333333336,3.5
131,male,313,37420,119.55271565495208,0.7532051282051282
132,male,192,17296,90.08333333333333,0.675392670157068
133,male,295,22508,76.29830508474576,0.8197278911564626
134,male,43,3984,92.65116279069767,0.8809523809523809
135,male,325,26408,81.25538461538461,1.2746913580246915
136,male,171,19408,113.49707602339181,0.5823529411764706
137,male,125,11956,95.648,0.3870967741935484
138,male,179,24048,134.3463687150838,0.5
139,female,126,17088,135.61904761904762,0.456
140,male,255,23136,90.72941176470589,0.5511811023622047
141,female,222,30672,138.16216216216216,0.497737556561086
142,male,244,27236,111.62295081967213,0.6090534979423868
143,male,130,22336,171.8153846153846,0.9147286821705426
144,female,152,12924,85.02631578947368,0.7218543046357616
145,female,217,17764,81.86175115207374,0.6388888888888888
146,female,200,17496,87.48,0.31155778894472363
147,male,174,13616,78.25287356321839,0.8670520231213873
148,female,297,31376,105.64309764309765,0.581081081081081
149,female,131,15880,121.22137404580153,0.7461538461538462
150,female,95,7748,81.5578947368421,1.2340425531914894
151,male,716,80672,112.67039106145252,0.7566433566433567
152,female,197,30348,154.0507614213198,0.7551020408163265
153,male,122,9600,78.68852459016394,1.43801652892562
154,male,488,47604,97.54918032786885,0.9034907597535934
155,male,235,21016,89.42978723404255,1.0384615384615385
156,male,18,1276,70.88888888888889,1.8823529411764706
157,male,21,1700,80.95238095238095,0.5
158,male,213,30832,144.7511737089202,0.6273584905660378
159,male,183,23948,130.86338797814207,0.5934065934065934
160,male,341,31936,93.65395894428153,0.6941176470588235
162,male,272,42584,156.55882352941177,1.4132841328413284
163,female,240,28508,118.78333333333333,0.33472803347280333
164,male,269,25120,93.38289962825279,1.0895522388059702
165,male,207,24140,116.61835748792271,0.7038834951456311
166,male,356,32068,90.07865168539325,0.9774647887323944
168,male,172,17408,101.20930232558139,1.345029239766082
169,male,186,21844,117.44086021505376,0.8162162162162162
170,male,380,50592,133.13684210526316,0.43271767810026385
171,male,315,49860,158.28571428571428,0.6369426751592356
172,male,194,27208,140.24742268041237,0.5181347150259067
174,female,47,3148,66.97872340425532,1.391304347826087
176,female,297,34304,115.5016835016835,0.44932432432432434
177,male,342,36536,106.83040935672514,0.533724340175953
178,male,175,14220,81.25714285714285,0.6149425287356322
179,male,406,51800,127.58620689655173,0.5333333333333333
180,female,171,19752,115.50877192982456,1.1058823529411765
181,female,151,16452,108.95364238410596,0.38666666666666666
182,male,461,51340,111.36659436008676,1.065217391304348
183,male,297,31784,107.01683501683502,0.9527027027027027
184,male,267,23756,88.97378277153558,0.42105263157894735
185,male,131,15016,114.62595419847328,0.34615384615384615
186,female,265,33524,126.5056603773585,0.5151515151515151
187,female,6,384,64.0,4.2
189,male,132,17292,131.0,0.5954198473282443
